ANT	dA	POST	TAG
Nail , Kemal ' e sadece kitapların isimlerini , yazarlarının önemini söylemekle yetinmiyordu ; bazen içeriğini	de	özetliyordu .	DC
Nail , Kemal ' e sadece kitapların isimlerini , yazarlarının önemini söylemekle yetinmiyordu ; bazen içeriğini de özetliyor ; aynı yazarın başka eserlerinden	de	söz ediyordu . Babanın yaşamı artık derli toplu olmuştu .	DC
Babanın yaşamı artık derli toplu olmuştu . Evde kavgalar	da	azalmıştı .	DC
Mahallede bazı komşular birbirine " Arabın evine kim taşınmış , biliyor musunuz ? " diye soruyor . -Arap dedikleri	de	, babası sarayda ibrikçi başılık yapmış olan Zenci bir kadındı- .	DC
Erkek çocuk saçını ayırmaz , tarak	da	taşımaz , yani süs yapmaz . Onun süsü dürüstlük , mertlik olmalıdır . "	DC
En yakın silah arkadaşı İsmet İnönü Devlet Başkanı olmuştu . Onun adı	da	 Milli Şef  olmuştu .	DC
Tabii karşısında , bu hareketin bir de düşmanı olmalıydı . O	da	hazırdı .	DC
Çocukluğumdan beri her yıl benim , uzun süren günlerini mutlulukla yaşadığım yaz tatilinin üç ayı , haziran , temmuz , ağustos ayları tüm güzelliğiyle o yıl	da	öylesine uzun sürmüştü ki…	NDC
Kitap sevgisi , kitaplarla insanların dünyasının derinliğine inmek , onları okuduktan sonra bile tüm canlılığı ile yüreğinde taşımak , , insanı öteki insanlar arasında sadece farklı yapıyordu . Bu farkı , ancak kendi de farklı olanlar görebilirlerdi . Böylece iyi ve güzel yetişme , aynı zamanda genellikle yalnız kalmayı	da	beraber getiriyordu .	NDC
Kemal ' in kaydını yaptıran polis dayısı ona üzerinde " 4 H 332 Kemal Demirel " yazılı bir kağıdı verirken sarıldı , öptü , başarılar diledi . Okulun açılış gününü söyledi . Fransızca okuyacağını	da	ilave ederek okulun hemen yanındaki karakola vazifesine döndü .	DC
Bir masanın üzerinde bakır tepsisiyle alınmış , sağından solundan yenilmiş baklava ve börek gördüm . Utancımdan ne babamın yüzüne ne	de	odadaki kadınların yüzüne bakamıyordum .	NDC
Kız olsun , erkek olsun ki kız arkadaşım hemen hemen hiç olmadı , biriyle tanışıp merhaba demek hakkım doğunca , benim için son önemli şey hallolmuş , demekti . Çok alıngan , doğal olarak	da	utanan bir insandım .	NDC
Kemal ' e baktı , sonra " Bu dünyada ne güzel , insanlar var değil mi ? " Kemal soruyu fırsat bilmişti , " Senin ne güzel kitapların varmış , hepsi	de	sahiden yaşanmış gibi .	NDC
Daha sonraki yıllarda gördüm ki genelde insanları yönlendiren ne kadar yazık ki çıkarları oluyordu . Büyük ya	da	küçük çıkarlar uğruna insan onuruna yakışmayan davranışlarda bulunuyorlardı .	NDC
Ertesi günün sabahı , Nail ' i sokakta ekmek almaya giderken gördüm . O , bana : " Dün sizin evden neşeli sesler geliyordu , " deyince , bu fırsatı çok güzel kullandım , hemen ona " Onlar Kasımpaşa ' dan ahbaplarımızdı , öğleden sonra	da	çarşıdaki tiyatroya gittik , " dedim .	DC
Misafirler gittikten sonra her akşam evde annemle babam arasında bir ağız kavgası oluyordu . Babamın savunması	da	; " Ne büyütüyorsun bunları , biraz eğlendikse , " oluyordu , " Beyoğlu ' na gitsem , barlarda , meyhanelerde eğlensem , kumar oynasam daha mı iyi , " diyordu .	DC
Ben çıktım , ama onun ne yapmak istediğini anlayamamıştım . Hemen orada bulunan çocuklardan biri " Nihayet Ateş seni	de	dövdü değil mi Kemal ? " dedi .	NDC
Nurhan " Tabii Sabahat , akademinin sorusu gaflet içinde sorulmuş bir soru . " Sabahat düşünceli bir şekilde " Onların insanı nasıl gördükleri	de	ortaya çıkıyor bu soruda . Tekniğin ilerlemesi , insanlığa , insanın bağımsızlığına ve özgür dünyasının gelişmesine doğrudan hiçbir katkıda bulunamaz . Pek çok şeyi , yaşamı kolaylaştırabilir , ama teknik insanlık üretemez ; onu ancak insan üretebilir ...  "	NDC
Yakınım olan üç dört arkadaşımla gerektiği zamanlarda konuşuyor , tartışıyorduk tüm bunları . Ülke bizim ülkemizdi ; tabii ki onun sorunları	da	bizim sorunlarımız .	DC
Elli yıl geçmiş olmasına karşın  hiçbir parti  gençlik dernekleri  cemiyetler ve benzeri toplulukların içinde olmadım . Bunları iyi veya kötünün ötesinde  bir yargı yapmaksızın anlatmak istiyorum . Hürriyetin gelmesi  kısa bir zamanda okulda	da	etkisini gösterdi .	NDC
Ben onlara " Artık kart usulü kalktı , " dedim . Sonra müdüre gittim . Hayatımın en güzel yalanlarından birini söyledim . " Efendim , biz dün Muzaffer Beyle konuştuk , bu kart usulüne artık gerek yok dedi , " dedim . Müdür şaşırarak " Bu nereden çıktı ? " dedi . Ben " Efendim , Demokrat Parti kuruldu ya , artık memleketimizde hürriyet var . Bunlar faşist usulü uygulamalar , hem başka okullarda	da	yok , " diye yanıt verince , suratından hiçbir şey anlamadığı belli olan müdürümüz Şerif Par ayağa kalktı .	NDC
 Tamam , tamam Kemal . Bu öğleyin söylerim çocuklara ,  dedi . Çok memnun olmuştum . Ben çıkarken " Sağ olun Müdür Bey , ben	de	zaten bendeki iki yüz kartı atmıştım , " dedim .	NDC
Sonra bir şeyler söylemiş olmak için " Ben o kızın babasını tanıyorum ; bir şeye dokundu mu , elini hemen yıkayan bir adam , elleri bembeyaz , " diyerek rahatlatmaya çalıştı Kemal ' i ve sonra onun sevineceğini bildiği bir haber verdi . Sabahat	da	var evde , Orhan söyledi bana .	NDC
Ve açılan çift kanatlı saç kapıdan boşalan çocuklar , Küçükparmakkapı Sokağına döküldüler . Eminim ki müdür	de	o anda kendisini hürriyet kahramanı sanmıştı .	DC
Eminim ki müdür de o anda kendisini hürriyet kahramanı sanmıştı . Sormadı , soruşturmadı	da	, çünkü müdür çok memnundu uygulamadan .	DC
O genellikle , koridorda bir pencere içinde teneffüslerde kahve içerdi . Nurhan ' la ben	de	arada bir onu orada görüp yanına giderdik .	DC
Sonradan öğrendik , meğer o öğretmenler odasına girmek istemezmiş	de	onun için koridorda pencere içinde dinlenirmiş .	DC
Bu ispiyoncu çocuk , benim bunları bilişimi ve anlatışımdaki dili beğenmiş olacak ki giderken " Kendine dikkat et Kemal , Muzaffer Bey seni ne yapıp edip dövmek istiyor , " dedi . Ben	de	ona , " Uyarın için teşekkür ederim , sen merak etme , beni dövecek adam daha anasından doğmadı , " dedim .	DC
O şaşkın ya da sinirlenmiş gibi elini diğer eline ses çıkaracak şekilde vurarak " Vay , sen nasıl böyle söylersin ? " dedi . Ben	de	ona , " Kendisine güvenen herkes söyler ; siz de söyleyin , " dedim .	DC
Ben çok saygılı bir duruşta ellerim kenarlara sarkmış , yapay bir şekilde	de	başımı dik tutmuş , onun suratına bakarak bekliyordum .	DC
Muzaffer Ateş ' le aramızda bu nedenle , beni çağırttığı gün şöyle bir konuşma geçmişti . Niye kartını vermiyorsun	da	, hava yapar gibi kâğıda adını yazıp veriyorsun ?	DC
Efendim , ben bir kere hava yapmam ; hava yapanların her türlüsünden	de	iğrenirim.”	DC
Pontus Platüs  Sen kendine Tanrının oğlu diyormuşsun , Yehudiya ' nın kralıyım diyormuşsun . Mucizeler yapıyor , kurtarıcı olduğunu söylüyormuşsun , " deyince İsa	da	 Onu sen öyle söylüyorsun ,  diye yanıt verir .	NDC
Nurhan , kitap elinde uzun uzun anlatıyordu ve hayranlıkla yapıyordu yorumlarını . Bu eser , Jean Jacques Rousseau ' nun " İlimler ve Sanatlar Hakkında Nutuk " isimli kitabıydı . O gün öğleden sonra Orhan , Kemal ' i	de	getirmesini söyleyerek evlerine çağırmıştı onları .	NDC
Bizim için bu olay , içinde bulunduğumuz eğitim kurumunda yaşanılması dayanılmaz bir durumdu .  Öğretmenimiz Talat Erben ' le öğrenci öğretmen gibi değil	de	arkadaş , dost gibi yaşamaya başlamıştık .	NDC
Akşam evde annem bana , önceki akşam bir nebze ucundan anlattığım olayla ilgili olarak , " Ne yaptın o ceplerini dolduran arkadaşlarının resimli kartlarını ? " diye sordu . Ben	de	 Onları çöp kutusuna attım   , diye yanıt verince , " Aaa , niye yaptın oğlum ? "	DC
Ben hemen düzelttim . " Anasının karnından demedim hocam , anasının A ...  ...  .dan " diye düzelttim bağırarak . O şaşkın ya	da	sinirlenmiş gibi elini diğer eline ses çıkaracak şekilde vurarak " Vay , sen nasıl böyle söylersin ? " dedi .	NDC
Araba tekerleği yokken dünyada insanlar vardı . Onların bağımsız dünyası , sevgi dünyası , otomobil ya	da	uçak yok diye bizimkinden daha mı kısıtlıydı yani ?	NDC
Tülden elbiseler giyinmiş küçük balerinler , elindeki sopayı yanlış yapanların bacaklarına indiren Madam Arzumanova adlı Rus hocalarının idaresinde gözlerimizin önünden çabuk çabuk , uçuşarak geçtiler . " Sopanın acısını bacaklarında en çok hisseden çocuk bendim . Baleye karşı	da	bir yeteneğimin olmadığı kısa sürede ortaya çıktı .	DC
Turizm ve Tanıtma Bakanlığının memur almak için bir sınav açtığını gazetede okumuştum . Başvurdum ve yüzlerce adayla birlikte sınava girdim . İki kişi kazandı . Bunlardan biri	de	bendim ve mütercim radyo dinleyicisi kadrosuyla işe alındım .	NDC
Fakat bürokrasiyi hiç bilmiyordum . Yaşamımdaki pek çok şey gibi , memuriyet hayatına	da	fazla düşünmeksizin dolu dizgin atıldım .	NDC
Büyük bir sarsıntı geçirmişse de , toparlanması fazla uzun sürmemiş . Moda Parkında buluşacakları bir gün , Meltem ' i	de	arayarak oraya çağırmış .	NDC
 Yaşadıklarımı , özellikle beni çok etkileyen olayları asla unutmam ,  dedi . " Geçmişi böylesine taze tutabilmemde kasetlerin	de	yardımı oluyor elbette . "	NDC
 Kasetler mi ?   " Evet , kitaplıkta gördüğün video kasetlerinde yaşamımdan kesitler var . Kimin çektiğini ben	de	bilmiyorum .	NDC
Kasımpaşa ' nın , aynı sınıfta okuya okuya başı dönmüş , sakalı bıyığı çıkmış , sigara içen , kumar oynayan , yaşı benden çok büyük esnaf çocuklarıyla doluydu . Recep Gökgöz	de	onlardan biriydi .	NDC
Bir süre bakıştıktan sonra , " Tanıyamadın değil mi ? " dedi . " Haklısın . Az önce konuştuğun Nazlı ile en ufak bir benzer yanımızın olmadığını ben	de	biliyorum .	NDC
... bir arkadaşının babama " Lütfullah , bu çocuğun sınırsız bir düş gücü var . Sen bunu okuldan mahrum etme , " demesi üzerine Şişhane Yokuşundaki Evliya Çelebi İlkokuluna yazdırıldım bu kez . Evliya Çelebi İlkokulun 4-B sınıfı	da	bambaşka bir dünyaydı .	DC
Ay ışığında basamaklara oturur , denizi , yıldızları seyrederlermiş uzun uzun . Geceleri kendisine aşk şiirleri okuyan romantik sevgilisinin , gündüzleri	de	Meltem adlı başka bir kızla birlikte olduğundan haberi yokmuş henüz .	NDC
Bir süre , garip bir tutkuyla bağlı olduğumuz Ankara ' dan konuştuk . Yaşamlarımıza sokak sokak sokularak bir tür bağımlılık yaratmıştı . İkimiz için	de	çok derin anlamlar taşıyordu kent .	NDC
 Annesi, babası, kardeşi, bütün ailesi İstanbul da yaşıyordu. İlk, orta ve lise eğitimini de yine orada tamamlamıştı. Sonra ani bir kararla , üstelik Hukuk Fakültesini	de	yarım bırakarak , anneannesinin yanına gelip Ankara ' ya yerleşmesinin nedenini merak ediyordum .	NDC
 " Bunda şaşıracak ne var ? Yalnız ben değil , bu evdeki her şey konuşur . Şöminenin üzerinde duran şu çenesi düşük kuru kafayı görüyor musun ? Benden	de	gevezedir o .	NDC
Ne kadar tuhaf , hayatımda bütün arkadaşlarımı defalarca gördüm	de	 , şu Osman ' a bir daha rastlamadım .	DC
Sahneyi terk etmeye hazırlanan bir aktris gibiydim . Zekâm şahlanmıştı sanki . Espriler yapıyor , kurnaz hamlelerle Meltem ' i yavaş yavaş mat ediyordum . O gece , Ege telefon edip yazdıklarımdan sonra bu kez	de	zekâma hayran olduğunu ele veren sesiyle böyle bir şeyi neden yaptığımı sordu . 	NDC
Birincisi , ilgili araştırmada , Trakya Üniversitesi Eğitim Fakültesi ' ndeki öğretmen adaylarının ,  ' Ata ' yı unutma '  davranış ya da tutumlarının , bu okulda ortaya çıkıp çıkmadığına ilişkin veri yoktur . Bu konuda veri/veriler elde etmek için , son sınıf öğrencilerine uygulanan anketin , bu öğrencilere bu okula girdiklerinde	de	uygulanıp , aradaki farka bakılması gerekirdi .	NDC
Ülkemizde yaklaşık 60 eğitim fakültesi vardır ; yalnızca birinde yapılan bir araştırmanın sonuçlarının tüm öğretmen adaylarına genellenmesi ne derece sağlıklı bir yaklaşımdır . Kısa bir süre önce TÜEF ' den ayrılıp şu anda bir başka eğitim fakültesinde görev yapmakta olan Prof . Dr . Cevat Celep , bu araştırmayı , hiç değilse , yeni okulundaki öğrenciler üzerinde	de	gerçekleştirdikten sonra , sonuçları basına verme inceliğinde bulunsaydı , toplanan veriler , ulaşılan yargılar ( yorumlar ) açısından , söz konusu araştırmanın geçerlilik ve güvenirliliği , kuşkusuz daha bir yüksek olurdu .	NDC
İstanbul ' un Anadolu yakasında Kadıköy ve Üsküdar ' da bazı ev ve işyerlerini su bastı . İSKİ ve itfaiye ekipleri , özellikle tıkalı mazgalları açmak için seferber oldu . Ancak bu arada yollarda göletler oluştu . Avrupa yakasında ise Alibeyköy , Eyüp gibi alçak semtlerde	de	yağış yüzünden kimi ev ve işyerleri sular altında kaldı .	DC
E-5 karayoluna çıkan araçlar , aniden bastıran sağanak yağış nedeniyle yolda kaldı . Avcılar- Yenibosna arasında kitlenen trafik yurttaşlara adeta bir işkence yaşattı . Zeytinburnu-Eminönü arasındaki hızlı tramvay seferlerinde	de	sabah saatlerinde yağış yüzünden gecikmeler meydana geldi .	DC
Sağanak , Narlıdere Şehitlik Kavşağı , Konak Mithatpaşa Caddesi , Güzelyalı , Karabağlar ve Çınarlı ' da yollarda su birikintisine yol açtı . Bu nedenle trafikte sorun yaşanırken bazı araçlar yolda kaldı . Bazı semtlerde	de	ev ve işyerlerini su bastı .	DC
16 Kasım 2002 tarihli Cumhuriyet gazetesinin birinci sayfasında , Trakya Üniversitesi Eğitim Fakültesi ( TÜEF ) öğrencileri üzerinde yapılan araştırmanın sonuçlarına dayanılarak  ' Öğretmen adayları Ata ' yı unuttu '  başlığı altında bir haber yer aldı . Benzer bir haber	de	yukarıda belirtilen tarihin öncesinde ve sonrasında , iki kez Milliyet gazetesinde yayımlandı .	DC
 Başka bir açıdan bakıldığında , Trakya Üniversitesi Eğitim Fakültesi ' nde Ata ' yı sevmeyen , bu nedenle	de	laik , demokratik cumhuriyete karşı öğretmenler yetiştiriliyor anlamına gelen bu haber ,	NDC
kuşkusuz tüm Cumhuriyet okurları gibi , okulumuzdaki çok sayıda öğrenci ve öğreticiyi	de	derinden sarstı , çok üzdü .	NDC
Bu konuda veri/veriler elde etmek için , son sınıf öğrencilerine uygulanan anketin , bu öğrencilere bu okula girdiklerinde de uygulanıp , aradaki farka bakılması gerekirdi . Belli bir konuya ya	da	nesneye yönelik tutum , alışkanlık , eğilim , yaklaşım ya da dünya görüşü gibi özellikleri kapsayan , eğitimbilim açısından ,  ' duyuşsal davranışlar '  denen insan niteliklerinin çok uzun bir zaman diliminde oluşturulabileceğini ya da değiştirilebileceğini bilimsel kaynaklar açıklıkla ortaya koymaktadır . 	NDC
Bu konuda veri/veriler elde etmek için , son sınıf öğrencilerine uygulanan anketin , bu öğrencilere bu okula girdiklerinde de uygulanıp , aradaki farka bakılması gerekirdi . Belli bir konuya ya da nesneye yönelik tutum , alışkanlık , eğilim , yaklaşım ya	da	dünya görüşü gibi özellikleri kapsayan , eğitimbilim açısından ,  ' duyuşsal davranışlar '  denen insan niteliklerinin çok uzun bir zaman diliminde oluşturulabileceğini ya da değiştirilebileceğini bilimsel kaynaklar açıklıkla ortaya koymaktadır . 	NDC
 Yeni hükümette Gül ' ün Dışişleri Bakanı ve Başbakan Yardımcısı olması bekleniyor . Erdoğan ' ın Gül kabinesini	de	büyük ölçüde değiştirebileceği belirtiliyor .	DC
Bu çerçevede yeniden test isteyen sendikanın talebiyle , İTÜ Ar-Ge İşletmesi ' nin aylarca süren ve uluslararası standartlara uygun tahkik ve deneylerle saptadığı sonuçlara karşın birkaç gün önce yeni bir tespit yapıldı . Özel bir şirketin gerçekleştirdiği tespitin sonucu henüz açıklanmadı . Oysa , İTÜ Ar-Ge İşletmesi ' nden profesör doktorlar Haluk Karadoğan , Tuncer Toprak , Faruk Karadoğan , Erdoğan Uzgider , Yard . Doç . Dr . Ercan Yüksel , Dr . Müh . Hatice Tokan , araştırma görevlileri Dr . Ergün Bozdağ , Dr . Özden Çağlayan ve Emin Sünbüloğlu  ' ndan oluşan uzman heyetin Eylül 2001 tarihli raporuna  ' ek cilt '  olarak hazırladıkları , Mayıs 2002 tarihli raporda	da	köprüdeki titreşimin giderilememesinin hâlâ ciddi risk oluşturduğu vurgulamıştı .	NDC
2002 ' de  ' çift başlı '  görüntüsü veren AKP hükümeti 2003 ' te	de	Erdoğan ' lı kabine oluşumu için yeni sıkıntılar yaşayacak .	NDC
Bakanlar Kurulu ' nda görüşülen Tıpta Mesleki Sorumluluk Sigortası Yasa Tasarı ' na , özellikle İngiltere ' den gelen hasta turizmi	de	eklenince , sorumluluk sigortası yaptıran doktorların sayısı , yılbaşından itibaren büyük bir artış gösterdi .	NDC
Bakanlar Kurulu ' nda görüşülen Tıpta Mesleki Sorumluluk Sigortası Yasa Tasarı ' na , özellikle İngiltere ' den gelen hasta turizmi de eklenince , sorumluluk sigortası yaptıran doktorların sayısı , yılbaşından itibaren büyük bir artış gösterdi . Söz konusu unsurlara az	da	olsa mahkeme sonucu alınan yüksek tazminatlar eklenince , sigorta yaptıran ya da çalıştığı kurum tarafından sigorta yaptırması istenen doktor sayısı 6-7 ayda 4 bini buldu .	NDC
Birincisi , ilgili araştırmada , Trakya Üniversitesi Eğitim Fakültesi ' ndeki öğretmen adaylarının ,  ' Ata ' yı unutma '  davranış ya	da	tutumlarının , bu okulda ortaya çıkıp çıkmadığına ilişkin veri yoktur . 	NDC
Kıbrıs sorununda da benzer bir anlayış egemen olamaz mı ? Çünkü , Türkiye tarafı güvenlik sorununu o kadar ileri noktaya götürüyor ki , Kıbrıs ' ın Türkiye açısından stratejik bir öneme sahip olduğu , askeri bakımdan bundan vazgeçilemeyeceği söyleniyor . Bunun doğru olup olmadığı bir yana , güvenliği ülke sınırları dışında aramaya kalkmanın sonu gelmez . Üstelik , Türkiye AB adayı bir ülke . Kıbrıs olsun Yunanistan olsun, bunlar	da	AB üyesi . Böylesine bir güvensizlikle uzlaşma üretmek nasıl mümkün olacak ? 	NDC
Karmaşanın yargı kararlarına uyulmamasından kaynaklandığını vurgulayan Ünlü ,  ' Mahkeme kararında yer almayan birtakım hukuki yorumlar ve Erdoğan ' ın genel başkanlıktan ayrılmaması sonucu bugünkü tablo ortaya çıkmıştır . Seçimlerin dürüstlüğü ilkesi	de	zedelenmiştir '  diye konuştu .	DC
Maalesef , Türkiye ' de hem kendi içimizle hem çevremizle bir türlü barışamıyoruz . Bunun zararını	da	hep birlikte çekiyoruz .	DC
Bunun zararını da hep birlikte çekiyoruz . Almanlarla Fransızları izlerken neden biz	de	böyle davranamıyoruz diye düşünmemek mümkün mü ?	NDC
Anayasa Mahkemesi ' nin , Yargıtay Cumhuriyet Başsavcısı Sabih Kanadoğlu ' nun başvurusu üzerine AKP ' ye Erdoğan ' ın kurucu üyelikten çıkarılması için ihtar verdiğini anımsatan Ünlü ,  ’ Anayasa Mahkemesi bu kararıyla Erdoğan ' ın kurucu üye olamayacağına karar verdi . Dolayısıyla Anayasa Mahkemesi , Erdoğan ' ın genel başkan olmasının	da	mümkün olamayacağına işaret etti '  dedi .	DC
Güney Asya da dondurucu soğuğun etkisinde . Son 24 saat içinde Hindistan ' da 74 , Bangladeş ' te	de	13 kişinin ölmesiyle , bölgede bir ayda ölenlerin sayısı 1792 ' yi buldu .	NDC
Son 5 yılda oynanan oyunlarda yapılan yasal kesintiler 1 .5 milyar doları aştı Atlar koştu devlet kazandı . Yasal kesintilerin yüksekliği tartışma konusu olan at yarışlarından devlete önemli miktarda kaynak aktarılıyor . Atçılık camiasında  ' at koşar baht kazanır '  sözü	de	at koşar devlet kazanır '  a dönüştü .	DC
Bahislerden , özel iletişim vergisi , eğitime katkı payı , KDV , Savunma Sanayii Destekleme Fonu , Yüksek Öğrenim Kredi ve Yurtlar Kurumu Fonu , Olimpiyat Fonu , Türk Tanıtma Fonu için kesinti yapılıyor . Oyunlardan belediyeler eğlence vergisi tahsil ediyor , Türkiye Jokey Kulübü	de	hisse alıyor .	DC
Geçen yıl oynanan oyunlarda 1 katrilyon 72 trilyon liralık hasılat elde edildi . Toplanan hasılattan KDV olarak 163 .5 trilyon , Savunma Sanayii Destekleme Fonu ' na 90 .8 , Olimpiyat Fonu ' na 9 .1 , Yüksek Öğrenim Kredi ve Yurtlar Kurumu ' na 31 .1 , Türk Tanıtma Fonu ' na 28 .1 trilyon kesildi . Belediyeler eğlence vergisi olarak 37 .2 trilyon tahsil etti , Türkiye Jokey Kulübü ' ne	de	149 trilyon liralık hisse ayrıldı .	DC
Bugün İncirlik hava üssünün hukuki statüsü nedir ? Bu sorunun yanıtını-1993 yılıyla sınırlı olarak- Uğur Mumcu  ' nun İncirlik ' ten kalkan ABD uçaklarının Kuzey Irak ' ta iki Irak uçağını düşürmesi nedeniyle Cumhuriyet ' te çıkan  ' İncirlik '  başlıklı yazısında buluyorum : ( O günkü sayıda İlhan Selçuk  ' un	da	40 yıldan beri İncirlik '  başlıklı yazısı var . )	NDC
Fransa ile Almanya arasında imzalanan Elysee Antlaşması ' nın 40 . yılı iki ülkede ve bu ülkelerin dünyanın dört bir yanındaki temsilciliklerinde törenlerle kutlandı . İstanbul ' da Alman Başkonsolosluğu ' nda	da	iki dilden parçaların söylendiği bir konser ve ardından bir kokteyl yapıldı .	DC
Fransa ile Almanya arasında imzalanan Elysee Antlaşması ' nın 40 . yılı iki ülkede ve bu ülkelerin dünyanın dört bir yanındaki temsilciliklerinde törenlerle kutlandı . İstanbul ' da Alman Başkonsolosluğu ' nda da iki dilden parçaların söylendiği bir konser ve ardından bir kokteyl yapıldı . Toplantının açış konuşmaları	da	ilginçti . Almanya temsilcisi bildirinin bir bölümünü Fransız temsilcisi de bir bölümünü okudu .	DC
Almanya temsilcisi bildirinin bir bölümünü , Fransız temsilcisi	de	bir bölümünü okudu .	NDC
Yüksek Seçim Kurulu ( YSK ) Başkanvekili Ahmet Hamdi Ünlü , hukukla inatlaşan Recep Tayyip Erdoğan ' ı eleştirerek  ' Genel başkanlıktan ayrılmaması sonucu bugünkü tablo ortaya çıkmıştır . Bu durum	da	seçimlerin dürüstlüğü ilkesini zedelemiştir dedi .	DC
ABD ' nin kuzeydoğusunu etkisi altına alan soğuk hava dalgası , New York ' tan Boston ' a kadar uzanan şeritte ısının eksi 20 ' ye kadar düşmesine yol açtı . Yetkililer , saatte 45 kilometre hızla esen rüzgârın etkisiyle , soğuğun eksi 60 derece gibi hissedildiğini belirtti . Meteoroloji soğuk havanın bugün ve yarın	da	etkili olacağını ve ısının biraz daha düşeceğini açıkladı .	NDC
Boston meteoroloji yetkilileri ise soğuğun önümüzdeki birkaç gün içinde 100 yıllık rekoru kırmasını beklediklerini söyledi . [paragraph] Güney Asya	da	dondurucu soğuğun etkisinde .	DC
İncirlik 1954 yılından beri 50 yıldır Türkiye ve dünyanın gündeminde . 1958 ' de ABD ' nin Lübnan ' a müdahelesinde , 1960 ' ta İncirlik ' ten kalkan U-2 casus uçağının Sovyetler Birliği semalarında düşürülmesinde , 1993 ' te Kuzey Irak ' ta Mig-29 uçağının düşürülmesinde , son olarak	da	Afganistan operasyonunda .	NDC
Geçen yıl ayrıca , eğitime katkı payı olarak 11 .3 trilyon , özel işlem vergisi olarak	da	33 .8 trilyon tahsil edildi . Bu yıl oynanacak oyunlardan çeşitli kesintilerle devlete ödenecek paranın 60 trilyonu bulacağı belirtildi . 	NDC
3 Kasım seçimleri sürecinde Erdoğan ' ın adının genel başkan sıfatıyla oy pusulalarında yer alması nedeniyle itiraz başvurusunda bulunulduğunu belirten Ünlü , YSK ' nin bu itirazları  ' fiili ve hukuki duruma göre karar verildiği '  gerekçesiyle reddettiğini söyledi . Tufan Algan	da	3 Kasım ile ilgili başvuruları değerlendireceklerini söylerken  ' Anayasa Mahkemesi ' nin verdiği karar gereğince eğer kurulca geçmişe yönelik hukuki bir karar alınması gerekirse , onu da görüşeceğiz '  dedi .	DC
Diyanet İşleri Başkanı Mehmet Nuri Yılmaz , 16 Ekim 2002 tarihli genelgesinde , baz istasyonlarının elektromanyetik radyasyon yaydığını , bunun iyonlaştırıcı özelliği bulunan radyasyonla karıştırıldığını kaydetti . Yılmaz , elektronik radyosyonun buzdolabı televizyon gibi ev aletlerinde	de	bulunduğunu öne sürdü .	DC
Dünyada böyle bir müessese var ve sapasağlam ayakta . Şu veya bu şekilde biten evlilikler	de	var ama bunu genele yayamayız .	DC
Özellikle metropol şehirlerde kadınlar artık maddi ve manevi bağımsızlığını ilan etmiş durumda . Kötü giden bir evlilikte çocukların da bir tampon olduğunu düşünmüyorum . Çocuk varsa sadece aynı evi paylaşan akrabalar gibi oluyorlar . Eskiden evlilik tek taraflı fedakarlıkla yürütülüyordu ama şimdi böyle değil . Artık tercih birlikte yaşamak bile değil , sadece flört etmek . Anadolu ' da ise kadın ne kadar çalışırsa çalışsın , söz sahibi olamadığı için örf ve adetlerin	de	etkisiyle durum daha farklı .	NDC
Öte yandan Çakıcı'nın da yurtdışına çıkması gereken 45 günlük sürenin emniyetten serbest bırakıldıktan sonra başlayacağı öğrenildi.  Hakkındaki " Kırmızı Bülten " ile aranma kaydı	da	düşürülen Çakıcı ' nın , işlemlerin tamamlanıp serbest bırakılmasının ardından yurtdışına çıkabilmek için pasaport işlemlerine başlayacağı öğrenildi .	DC
Türkiye ' nin , idam cezasını kaldırdıktan sonra Alaattin Çakıcı ' yı yeniden yargılamak talebiyle geçtiğimiz ekim ayında Fransa ' ya resmen başvuruda bulunduğu ortaya çıktı . Prof . Aysel Çelikel ' in bakanlığı döneminde , idam cezasının kaldırılması üzerine harekete geçen Adalet Bakanlığı , Fransız Adalet Bakanlığı ' ndan Çakıcı ' nın bu suçlardan	da	iadesini talep etti .	DC
Kıbrıs ' ta barış planlarının yapıldığı şu günlerde , Ada ' nın iki yakasında ekonomik işbirliğinin örnekleri sergileniyor . Kriz nedeniyle işşiz kalan 7 bine yakın Kıbrıslı Türk , çalışmak için her gün Rum Kesimi ' ne geçiyor . Türkiye ' deki ekonomik kriz kısa sürede etkisini Kuzey Kıbrıs Türk Cumhuriyeti ' nde	de	gösterdi .	NDC
Birçok işyeri kapanırken , işsiz kalan binlerce kişi yeni arayışlar içine girdi . Özellikle genç ve eğitimli nüfus , çareyi yurtdışına çıkmakta buldu . Kalanlar ise 1990 ' dan bu yana inşaatlarda çalışmak üzere Kıbrıs Rum Kesimi ' ne geçen gündelikçi işçilere katıldı . Son iki yıla kadar sayıları ancak bini bulan işçiler , krizin	de	etkisiyle 7 binlere ulaştı .	NDC
Masis , 19 Aralık ' ta Ankara ' da kalan mallar için müzayede düzenleyeceklerini ifade ederek , şöyle konuştu : Ben Ankara ' daki müzayedeyi yönetirken İstanbul , Adana ve İzmir ' de de naklen müzayede yayımlanacak . İsteyenler	de	telekonferansla anında ihaleye katılabilecek . Türkiye ' de ilk defa 4 kentte birden yapılan , naklen müzayede düzenliyoruz . "	DC
